100,112,125,140,160,180,200,224,250,280,315,355,400,450,500,560,630,710,800,900,1000,1120,1250,1400,1600,1800,2000,2240,2500,2800,3150,3550,4000,4500,5000,5600,6300,7100,8000
0.4641 ,0.4843 ,0.5181 ,0.5319 ,0.5758 ,0.6005 ,0.6250 ,0.6591 ,0.6972 ,0.7234 ,0.7583 ,0.7881 ,0.8055 ,0.8320 ,0.8649 ,0.8759 ,0.8921 ,0.9114 ,0.9227 ,0.9397 ,0.9510 ,0.9576 ,0.9635 ,0.9599 ,0.9501 ,0.9543 ,0.9594 ,0.9601 ,0.9593 ,0.9603 ,0.9558 ,0.9700 ,0.9848 ,1.0136 ,1.0241 ,1.0398 ,1.0776 ,1.1197 ,1.0000 
